"Handle","Title","Description","SEO Title","SEO Description","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","SKU","Quantity","Regular Price","Sale Price","Cost","Images","Variant Image","Status","Collections","URL","Tax","Created","Updated","Length","Width","Height","Weight"
"dura-scope","Dura Scope","<p style=""text-align: right;"">أفضل قيمة مقابل السعر + قطع مميزة 👌<br><br>الأكثر اختيارًا<br><br>من 15 - 18 منتج + الهدايا</p>","Start Scope","","تصوير فيديو","بدون تصوير","مراجعة الطلب بعد التجهيز","بدون مراجعة",,,"","Available","2000","","","https://assets.wuiltstore.com/cmo1uywx106f101l8hn0x00ks_WhatsApp_Image_2026-04-16_at_9.04.40_PM.webp https://assets.wuiltstore.com/cmo4e672j00ga01o7crc84srr_Scoop__7_.webp https://assets.wuiltstore.com/cmoabvbaw02j001oce9mp1pcc_WhatsApp_Image_2026-04-22_at_7.18.45_PM__1_.webp https://assets.wuiltstore.com/cmoabvbla02jq01ndbxmt1c42_WhatsApp_Image_2026-04-22_at_7.18.45_PM.webp","","ACTIVE","سكوب سندورة,الأكثر مبيعًا","https://sundura.wuiltstore.com/ar/product/all/dura-scope","Global","2026-02-24T00:36:02.834Z","2026-04-22T19:30:22.841Z","","","",""
"dura-scope",,,,,"تصوير فيديو","تصوير","مراجعة الطلب بعد التجهيز","مراجعة",,,"","Available","2100","","","","","","","https://sundura.wuiltstore.com/ar/product/all/dura-scope","",,,"","","",""
"dura-scope",,,,,"تصوير فيديو","بدون تصوير","مراجعة الطلب بعد التجهيز","مراجعة",,,"","Available","2050","","","","","","","https://sundura.wuiltstore.com/ar/product/all/dura-scope","",,,"","","",""
"dura-scope",,,,,"تصوير فيديو","تصوير","مراجعة الطلب بعد التجهيز","بدون مراجعة",,,"","Available","2050","","","","","","","https://sundura.wuiltstore.com/ar/product/all/dura-scope","",,,"","","",""
"قهوة-وكتاب","قهوة وكتاب","<p style=""text-align: right;"">محبي القرءاه عملنا ليهم نوت &nbsp;مخصصة لتلخيص الكتب 🤩<br>30 صفحة ومعاه بوك مارك بنفس تصميم الغلاف❤️&zwj;🔥</p>","قهوة وكتاب","محبي القرءاه عملنا ليهم نوت  مخصصة لتلخيص الكتب 🤩30 صفحة ومعاه بوك مارك بنفس تصميم الغلاف❤️‍🔥",,,,,,,"","Available","70","50","","https://assets.wuiltstore.com/cmint9g6y0aad01kqc38u6tc8_56.png https://assets.wuiltstore.com/cmint9ikk0aaf01kq47y4b1uw_57.png https://assets.wuiltstore.com/cmint9hb60aae01kqhascccbn_58.png","","DRAFT","ادوات التخطيط والتلخيص","https://sundura.wuiltstore.com/ar/product/all/قهوة-وكتاب","Global","2025-12-02T01:59:23.294Z","2026-04-22T00:31:04.054Z","","","",""
"⁨‫اسكتش-رسم-‫3-ختم-وأنواع-مختلفة-من-الالوان⁩","اسكتش رسم + 3 ختم والوان","<p style=""text-align: right;"">اسكتش رسم + 3 ختم وأنواع مختلفة من الالوان</p>","","","اللون","ازرق ",,,,,"",3,"181.5","165","","https://assets.wuiltstore.com/cmn830mwu04q101ldabxib7l0_view.webp https://assets.wuiltstore.com/cmn830o2804or01kvdsla8w27_view.webp https://assets.wuiltstore.com/cmn830moq04op01kvb55lc5hn_view.webp","https://assets.wuiltstore.com/cmn830mwu04q101ldabxib7l0_view.webp","ACTIVE","","https://sundura.wuiltstore.com/ar/product/all/⁨‫اسكتش-رسم-‫3-ختم-وأنواع-مختلفة-من-الالوان⁩","Global","2026-03-27T01:06:40.424Z","2026-04-22T00:15:13.211Z","","","",""
"⁨‫اسكتش-رسم-‫3-ختم-وأنواع-مختلفة-من-الالوان⁩",,,,,"اللون","بينك",,,,,"",1,"181.5","165","","","https://assets.wuiltstore.com/cmn830o2804or01kvdsla8w27_view.webp","","","https://sundura.wuiltstore.com/ar/product/all/⁨‫اسكتش-رسم-‫3-ختم-وأنواع-مختلفة-من-الالوان⁩","",,,"","","",""
"⁨‫اسكتش-رسم-‫3-ختم-وأنواع-مختلفة-من-الالوان⁩",,,,,"اللون","اصفر",,,,,"",2,"181.5","165","","","https://assets.wuiltstore.com/cmn830moq04op01kvb55lc5hn_view.webp","","","https://sundura.wuiltstore.com/ar/product/all/⁨‫اسكتش-رسم-‫3-ختم-وأنواع-مختلفة-من-الالوان⁩","",,,"","","",""
"اباجورة-حصاله","اباجورة حصاله","وكمان معاها استيكر",,,,,,,,,"","Available","300","275","","https://assets.wuiltstore.com/cmn9oq5yk054y01kvbpgo89a9_view https://assets.wuiltstore.com/cmn9oq5z7058b01m1hwt7e2ei_view https://assets.wuiltstore.com/cmn9oq5zi058701ld2tmc7y4d_view","","ACTIVE","ديكور المكتب","https://sundura.wuiltstore.com/ar/product/all/اباجورة-حصاله","Global","2026-03-28T04:02:10.329Z","2026-04-21T23:58:50.266Z","","","",""
"⁨‫مج-‫ice⁩","مج ice","",,,,,,,,,"","Available","230","190","","https://assets.wuiltstore.com/cmo01vrzt05bk01l7b1itb6mh_view.webp https://assets.wuiltstore.com/cmo01vqk705ic01n03j4385pq_view.webp https://assets.wuiltstore.com/cmo01vql205hb01lwg46i6psu_view.webp https://assets.wuiltstore.com/cmo01vqmg05bi01l75yc97ugt_view.webp","","ACTIVE","لانش بوكس_مجات_زجاجات","https://sundura.wuiltstore.com/ar/product/all/⁨‫مج-‫ice⁩","Global","2026-04-15T14:52:25.251Z","2026-04-21T23:56:44.598Z","","","",""
